Finding_ID,Source,Detected_Date,URL,Issue_Type,Severity,Evidence,Recommended_Action,Owner,Implementation_Status,Verification_Status,Notes
CRAWL-001,Full crawl,2026-06-19,https://pmstructure.com/,Full crawl pending,High,"No Screaming Frog/Sitebulb export in repo; pmstructure-result-scan-links.csv SCAN-001 Pending","Run Screaming Frog/Sitebulb crawl and attach/export results",Mahaa,Pending,Pending,"Do not claim crawl completed without evidence."
CRAWL-002,Public evidence,2026-06-10,https://pmstructure.com/terms,404 review,Medium,"Live fetch 404; redirect in next.config.ts not verified on production","Deploy and curl /terms → /legal/terms",Developer,Fixed locally,Needs deploy verification,"T-140."
CRAWL-003,Indexation strategy,2026-06-19,https://pmstructure.com/pmp,Duplicate content / Legacy URL conflict,High,"Live indexable hub (T-032) + /certifications/pmp both in sitemap; redirect inventory says do not redirect","Owner decision: keep T-032 hub+cluster OR 301 to /certifications/pmp",Sheikh,Documented,Pending owner approval,"T-136. Not a crawl finding until export confirms overlap."
CRAWL-004,Indexation strategy,2026-06-19,https://pmstructure.com/pmp-exam-2026,Duplicate content / Legacy URL conflict,High,"Live cluster guide + /topics/pmp-exam-2026 both indexable in sitemap","Owner decision: keep cluster guide OR 301 to /topics/pmp-exam-2026",Sheikh,Documented,Pending owner approval,"T-135. B06 on-page audit flags title/H1 for review."
CRAWL-005,Public evidence,2026-06-10,https://pmstructure.com/privacy,Duplicate URL risk,Medium,"Live fetch served policy at /privacy and /legal/privacy; redirect in repo","Deploy and curl /privacy → /legal/privacy",Developer,Fixed locally,Needs deploy verification,"T-139."
CRAWL-006,Public evidence,2026-06-10,https://pmstructure.com/sitemap.xml,Sitemap 500,High,"Live fetch HTTP 500 on sitemap.xml","Harden frontend/app/sitemap.ts; deploy; curl 200",Developer,Fixed locally,Needs deploy verification,"Per-source try/catch + dedupe added 2026-06-10."
CRAWL-007,Public evidence,2026-06-10,https://pmstructure.com/answers/is-the-pmp-exam-changing-in-2026,Public TODO,Medium,"Live page showed TODO: Verify PMP 2026 transition dates","Remove sourceTodo public render; compliance note only",Developer,Fixed locally,Needs deploy verification,"AnswerPage + pages.ts updated."
CRAWL-008,Public evidence,2026-06-10,https://pmstructure.com/go/website,Testimonial verification risk,High,"Named pass/cleared quotes without visible permission proof","Remove unverified stories on all /go/* portals",Developer,Fixed locally,Needs deploy verification,"portalLearnerStories withheld; metrics neutralized."
CRAWL-T133,Task slot,2026-06-19,https://pmstructure.com/,Pending crawl finding,Monitor,"T-133 — awaiting crawler export","Re-classify after full crawl",Mahaa,Pending,Pending,"Homepage priority URL."
CRAWL-T134,Task slot,2026-06-19,https://pmstructure.com/certifications,Pending crawl finding,Monitor,"T-134 — awaiting crawler export","Re-classify after full crawl",Mahaa,Pending,Pending,"Certification hub."
CRAWL-T137,Task slot,2026-06-19,https://pmstructure.com/answers,Pending crawl finding,Monitor,"T-137 — awaiting crawler export","Re-classify after full crawl",Mahaa,Pending,Pending,"Answer hub."
CRAWL-T138,Task slot,2026-06-19,https://pmstructure.com/topics,Pending crawl finding,Monitor,"T-138 — awaiting crawler export","Re-classify after full crawl",Mahaa,Pending,Pending,"Topic hub."
